character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
而,er2,6,1626,1739,-0.034,1009,367,337,451,585,631,3.143,1.790,1.612,2.179,3.482,7.011,3.203,5.376,3178.149,2.498,2.9375,2.8,2.5
尔,er3,5,132058,84814,0.218,77508,32871,29675,26140,26930,23683,241.458,160.346,141.986,126.280,160.298,263.144,182.252,3.737,390.564,3.407,3.4375,3.2,3.0
洱,er3,9,108,73,0.193,16,6,5,20,56,78,0.050,0.029,0.024,0.097,0.333,0.867,0.233,5.909,1.415,5.617,3.3125,2.7,2.7
二,er4,2,736402,835214,-0.063,546234,240639,258104,322571,173437,29493,1701.664,1173.849,1234.947,1558.314,1032.363,327.700,1171.473,2.931,1538.011,2.813,2.1250,2.6,2.3
贰,er4,9,730,2146,-0.492,2100,222,161,212,154,28,6.542,1.083,0.770,1.024,0.917,0.311,1.775,5.557,0.900,5.721,2.4375,2.4,2.6
发,fa1,5,4484512,708266,0.727,2325363,1077432,808582,515992,340930,121017,7244.121,5255.766,3868.813,2492.715,2029.345,1344.633,3705.899,2.431,3593.409,2.444,3.9375,3.2,2.8
法,fa3,8,1168919,67401,0.891,705186,260994,140609,78046,37165,13917,2196.841,1273.141,672.770,377.034,221.220,154.633,815.940,3.088,2158.811,2.666,3.4375,2.8,3.3
帆,fan1,6,478220,285785,0.252,12141,16379,35450,153121,309806,236485,37.822,79.898,169.617,739.715,1844.083,2627.611,916.458,3.037,14.406,4.812,4.1875,3.8,3.4
番,fan1,12,4343,4410,-0.008,1666,599,577,2064,2962,883,5.190,2.922,2.761,9.971,17.631,9.811,8.048,5.043,73.315,4.129,2.9375,3.1,2.9
蕃,fan1,15,1208,789,0.210,259,89,108,377,679,487,0.807,0.434,0.517,1.821,4.042,5.411,2.172,5.499,5.145,5.211,2.9375,2.7,2.8
藩,fan1,18,10688,1178,0.801,6486,1095,830,1113,1457,906,20.206,5.341,3.971,5.377,8.673,10.067,8.939,5.003,9.004,5.000,3.3750,2.8,3.2
翻,fan1,18,3286,9231,-0.475,1616,1358,1553,3223,4082,674,5.034,6.624,7.431,15.570,24.298,7.489,11.074,4.918,172.484,3.761,2.2500,2.7,2.6
凡,fan2,3,1249979,792564,0.224,457005,257671,229874,271357,453229,372479,1423.692,1256.932,1099.876,1310.903,2697.792,4138.656,1987.975,2.701,127.916,3.890,3.5000,3.6,2.9
钒,fan2,8,8937,4228,0.358,89,184,543,2050,4690,5605,0.277,0.898,2.598,9.903,27.917,62.278,17.312,4.737,1.093,5.679,2.8750,2.4,3.0
樊,fan2,15,10348,6640,0.218,587,486,945,3814,6440,4721,1.829,2.371,4.522,18.425,38.333,52.456,19.656,4.685,7.203,5.086,3.3750,2.8,3.1
璠,fan2,16,8466,22648,-0.456,1251,750,1673,5742,10475,11227,3.897,3.659,8.005,27.739,62.351,124.744,38.399,4.405,0.965,5.707,3.4375,3.1,2.8
繁,fan2,17,138462,67760,0.343,45980,30751,30574,37211,37523,24499,143.240,150.005,146.287,179.763,223.351,272.211,185.810,3.729,139.106,3.854,3.5625,3.2,3.4
蘩,fan2,20,45,102,-0.388,7,0,6,27,46,61,0.022,0.000,0.029,0.130,0.274,0.678,0.189,5.925,0.707,5.768,3.0000,2.9,3.0
反,fan3,4,4483,1053,0.620,2440,2130,784,98,107,11,7.601,10.390,3.751,0.473,0.637,0.122,3.829,5.316,1177.416,2.929,1.8125,2.1,2.5
范,fan4,8,96820,141701,-0.188,147897,49300,23515,12583,7643,3385,460.738,240.488,112.512,60.787,45.494,37.611,159.605,3.794,329.725,3.481,3.4375,3.1,3.1
梵,fan4,11,4942,4257,0.074,195,119,309,730,2368,5486,0.607,0.580,1.478,3.527,14.095,60.956,13.541,4.837,8.232,5.035,3.6250,3.3,3.5
方,fang1,4,1775954,1290319,0.158,983150,546074,506559,546774,356375,126632,3062.773,2663.776,2423.727,2641.420,2121.280,1407.022,2386.666,2.622,2651.052,2.576,3.5000,3.2,3.2
邡,fang1,6,4,4,0.000,1,2,1,2,1,1,0.003,0.010,0.005,0.010,0.006,0.011,0.008,5.997,0.000,6.000,3.1250,2.8,3.2
坊,fang1,7,1755,1242,0.171,485,300,489,774,544,401,1.511,1.463,2.340,3.739,3.238,4.456,2.791,5.421,17.750,4.727,2.8125,2.8,2.7
芳,fang1,7,1621795,17846355,-0.833,6809041,3820554,3853803,3097017,1547657,330659,21211.966,18636.849,18439.249,14961.435,9212.244,3673.989,14355.955,1.843,65.276,4.179,4.1875,3.7,3.2
钫,fang1,9,547,942,-0.265,150,146,261,357,342,233,0.467,0.712,1.249,1.725,2.036,2.589,1.463,5.609,0.579,5.802,2.6875,2.5,2.7
房,fang2,8,33759,4805,0.751,11022,10351,9864,5441,1593,393,34.336,50.493,47.196,26.285,9.482,4.367,28.693,4.527,362.524,3.439,2.8750,3.3,3.0
纺,fang3,7,302,2321,-0.770,675,328,470,697,374,79,2.103,1.600,2.249,3.367,2.226,0.878,2.071,5.513,49.134,4.300,2.8125,3.2,2.8
昉,fang3,8,3086,3395,-0.048,477,775,1779,2107,965,378,1.486,3.780,8.512,10.179,5.744,4.200,5.650,5.177,0.000,6.000,3.5625,3.3,3.2
舫,fang3,10,4693,9005,-0.315,6660,2863,2080,1265,619,216,20.748,13.966,9.952,6.111,3.685,2.400,9.477,4.980,1.029,5.693,3.2500,2.9,3.1
放,fang4,8,90968,28005,0.529,39206,16977,15820,18738,22218,6085,122.137,82.815,75.694,90.522,132.250,67.611,95.172,4.017,901.262,3.045,2.8125,2.7,3.2
飞,fei1,3,5213572,1743649,0.499,378154,565038,1123105,2416833,1886822,584168,1178.050,2756.283,5373.708,11675.522,11231.083,6490.756,6450.900,2.190,397.638,3.399,4.1250,3.4,3.5
妃,fei1,6,9840,129956,-0.859,20968,22573,23392,31119,26516,15152,65.321,110.112,111.923,150.333,157.833,168.356,127.313,3.892,10.418,4.942,3.2500,3.2,2.6
非,fei1,8,101522,50602,0.335,11033,9927,18534,44474,42495,25624,34.371,48.424,88.679,214.850,252.946,284.711,153.997,3.810,566.842,3.246,2.8125,2.9,3.2
菲,fei1,11,61661,803923,-0.858,9087,13829,47742,264744,275193,254488,28.308,67.459,228.431,1278.957,1638.054,2827.644,1011.476,2.995,29.776,4.512,4.3125,3.2,3.2
绯,fei1,11,415,2047,-0.663,138,439,702,636,369,173,0.430,2.141,3.359,3.072,2.196,1.922,2.187,5.497,2.765,5.424,2.6250,3.0,2.5
霏,fei1,16,16534,82923,-0.668,1101,1319,4325,18463,26820,47403,3.430,6.434,20.694,89.193,159.643,526.700,134.349,3.869,1.865,5.543,4.1250,3.5,3.1
斐,fei3,12,72863,105514,-0.183,6675,7643,17351,57494,55133,33656,20.794,37.283,83.019,277.749,328.173,373.956,186.829,3.726,5.274,5.202,4.1250,3.9,3.8
翡,fei3,14,744,5124,-0.746,148,232,561,2326,1864,751,0.461,1.132,2.684,11.237,11.095,8.344,5.826,5.166,4.630,5.249,3.7500,3.3,3.1
费,fei4,9,1397,543,0.440,456,203,183,404,441,251,1.421,0.990,0.876,1.952,2.625,2.789,1.776,5.557,367.862,3.433,2.7500,2.4,2.7
分,fen1,4,16847,127655,-0.767,57333,32896,28480,17420,7139,1170,178.607,160.468,136.268,84.155,42.494,13.000,102.499,3.985,2990.553,2.524,2.4375,2.3,2.7
芬,fen1,7,169957,9044552,-0.963,3699783,2224852,1747731,1032678,431379,82524,11525.804,10852.937,8362.349,4988.783,2567.732,916.933,6535.756,2.185,29.519,4.515,4.0625,3.3,3.0
纷,fen1,7,305,4715,-0.878,199,219,473,2176,1619,334,0.620,1.068,2.263,10.512,9.637,3.711,4.635,5.249,117.433,3.927,3.2500,3.2,2.8
汾,fen2,7,453,1289,-0.480,304,162,245,401,440,190,0.947,0.790,1.172,1.937,2.619,2.111,1.596,5.586,2.637,5.439,3.0000,3.0,2.7
粉,fen3,10,7186,669340,-0.979,258180,179800,137155,72323,25753,3707,804.299,877.073,656.244,349.386,153.292,41.189,480.247,3.318,128.880,3.886,2.9375,2.9,2.6
份,fen4,6,296,811,-0.465,580,103,85,127,156,56,1.807,0.502,0.407,0.614,0.929,0.622,0.814,5.741,147.016,3.830,2.3125,2.4,2.5
奋,fen4,8,42429,13138,0.527,9312,10844,11513,11859,9607,2494,29.009,52.898,55.086,57.290,57.185,27.711,46.530,4.323,145.859,3.833,3.9375,3.4,4.0
丰,feng1,4,1208088,297327,0.605,400543,246670,321665,267105,177650,90655,1247.798,1203.268,1539.067,1290.362,1057.440,1007.278,1224.202,2.912,223.161,3.649,4.4375,3.8,3.9
风,feng1,4,771131,2518815,-0.531,1494010,778233,521324,310076,145870,37764,4654.237,3796.259,2494.373,1497.952,868.274,419.600,2288.449,2.640,745.371,3.127,3.6250,3.3,3.1
沣,feng1,7,12759,2150,0.712,235,223,767,2240,3518,7957,0.732,1.088,3.670,10.821,20.940,88.411,20.944,4.659,3.216,5.375,3.4375,3.2,3.3
枫,feng1,8,165961,82373,0.337,15262,15787,31829,52929,78929,53542,47.545,77.010,152.292,255.696,469.815,594.911,266.212,3.573,9.840,4.965,4.0000,3.6,3.2
封,feng1,9,8481,938,0.801,1210,883,1983,2863,1847,627,3.769,4.307,9.488,13.831,10.994,6.967,8.226,5.035,299.242,3.523,3.0000,2.6,3.4
峰,feng1,10,5863450,528587,0.835,535958,855481,1969361,1737346,952525,330094,1669.651,4173.078,9422.780,8392.976,5669.792,3667.711,5499.331,2.260,75.116,4.119,4.1250,3.4,3.8
烽,feng1,11,86785,4500,0.901,1615,2830,6807,20999,33021,26093,5.031,13.805,32.569,101.444,196.554,289.922,106.554,3.968,2.572,5.447,3.5625,3.3,3.5
锋,feng1,12,3160501,208152,0.876,169098,364792,1022885,1012432,580129,221055,526.785,1779.473,4894.187,4890.976,3453.149,2456.167,3000.123,2.523,77.431,4.106,4.1250,2.8,3.9
蜂,feng1,13,1141,3160,-0.469,1589,614,611,738,518,247,4.950,2.995,2.923,3.565,3.083,2.744,3.377,5.359,57.173,4.235,2.1875,2.6,2.7
冯,feng2,5,14921,7725,0.318,1445,1368,2507,6016,7046,4268,4.502,6.673,11.995,29.063,41.940,47.422,23.599,4.609,47.719,4.312,3.2500,2.8,2.8
逢,feng2,10,81983,37974,0.367,42014,20373,21150,19176,12072,5114,130.885,99.380,101.196,92.638,71.857,56.822,92.130,4.031,35.629,4.436,3.2500,3.0,3.3
凤,feng4,4,1899398,16170557,-0.790,7473507,4232507,2959868,2057638,1020675,309962,23281.953,20646.376,14162.048,9940.280,6075.446,3444.022,12925.021,1.889,59.231,4.220,4.3125,3.8,3.5
奉,feng4,8,50473,31710,0.228,29603,15772,13874,10620,8244,4067,92.221,76.937,66.383,51.304,49.071,45.189,63.518,4.190,62.318,4.198,3.5000,3.6,3.5
俸,feng4,10,2109,933,0.387,666,378,372,458,611,553,2.075,1.844,1.780,2.213,3.637,6.144,2.949,5.404,1.736,5.563,2.8125,2.8,3.1
佛,fo2,7,25361,11699,0.369,19525,4774,2954,4901,3762,1082,60.826,23.288,14.134,23.676,22.393,12.022,26.057,4.568,189.462,3.720,2.8750,3.3,3.1
夫,fu1,4,267998,68595,0.592,159283,67144,40933,32405,25875,10989,496.209,327.532,195.852,156.546,154.018,122.100,242.043,3.614,380.146,3.419,3.0000,2.9,3.0
敷,fu1,15,91,85,0.034,72,24,14,24,31,11,0.224,0.117,0.067,0.116,0.185,0.122,0.139,5.943,10.997,4.921,2.5625,2.5,2.8
伏,fu2,6,74242,100337,-0.149,94726,42171,24299,9193,3321,825,295.097,205.712,116.263,44.411,19.768,9.167,115.070,3.935,99.361,3.998,2.6250,2.8,2.8
芙,fu2,7,2406,155921,-0.970,37706,26742,35256,26572,20088,12073,117.464,130.449,168.689,128.367,119.571,134.144,133.114,3.873,8.875,5.005,3.8125,3.4,3.2
孚,fu2,7,2971,777,0.585,1681,392,322,417,469,459,5.237,1.912,1.541,2.014,2.792,5.100,3.099,5.387,7.524,5.069,3.0625,2.8,2.9
绂,fu2,8,72,26,0.469,65,5,9,5,9,5,0.202,0.024,0.043,0.024,0.054,0.056,0.067,5.972,0.000,6.000,2.8750,2.6,2.7
符,fu2,11,1338,699,0.314,769,320,279,284,257,136,2.396,1.561,1.335,1.372,1.530,1.511,1.618,5.582,137.370,3.859,3.0000,3.0,2.8
涪,fu2,11,983,216,0.640,155,118,160,190,308,268,0.483,0.576,0.766,0.918,1.833,2.978,1.259,5.646,1.736,5.563,3.1250,3.1,3.0
福,fu2,13,7617439,1830935,0.612,4317666,2014433,1440631,921184,522228,236086,13450.673,9826.502,6892.971,4450.164,3108.500,2623.178,6725.331,2.172,212.293,3.671,4.6250,4.4,2.9
甫,fu3,7,358992,27683,0.857,205751,69254,47742,34621,20569,9048,640.969,337.824,228.431,167.251,122.435,100.533,266.241,3.573,27.204,4.550,3.6875,3.6,3.5
府,fu3,8,24676,803,0.937,7550,3903,4004,5070,3620,1338,23.520,19.039,19.158,24.493,21.548,14.867,20.438,4.669,312.040,3.504,3.3750,2.9,3.1
俯,fu3,10,79,4,0.904,6,5,20,22,17,13,0.019,0.024,0.096,0.106,0.101,0.144,0.082,5.966,19.358,4.691,2.4375,2.6,2.8
辅,fu3,11,17045,1181,0.870,8405,2667,2412,1941,1684,1068,26.184,13.010,11.541,9.377,10.024,11.867,13.667,4.834,39.680,4.391,3.0000,3.4,3.0
付,fu4,5,1437762,419838,0.548,874998,442755,303620,151452,61601,15428,2725.850,2159.780,1452.727,731.652,366.673,171.422,1268.017,2.897,115.825,3.932,3.1875,2.7,3.2
阜,fu4,8,2266,211,0.830,745,289,347,509,435,156,2.321,1.410,1.660,2.459,2.589,1.733,2.029,5.519,6.753,5.111,3.3750,2.9,3.2
复,fu4,9,55569,17209,0.527,37366,13510,10355,6452,3568,1420,116.405,65.902,49.545,31.169,21.238,15.778,50.006,4.292,513.592,3.289,3.1250,3.0,3.4
赋,fu4,12,8663,616,0.867,1102,894,1310,1708,2240,2026,3.433,4.361,6.268,8.251,13.333,22.511,9.693,4.971,39.101,4.397,4.1875,3.4,3.7
