top50,char.all.1950,char.all.1960,char.all.1970,char.all.1980,char.all.1990,char.all.2000,n.all.1950,n.all.1960,n.all.1970,n.all.1980,n.all.1990,n.all.2000,char.m.1950,char.m.1960,char.m.1970,char.m.1980,char.m.1990,char.m.2000,n.m.1950,n.m.1960,n.m.1970,n.m.1980,n.m.1990,n.m.2000,char.f.1950,char.f.1960,char.f.1970,char.f.1980,char.f.1990,char.f.2000,n.f.1950,n.f.1960,n.f.1970,n.f.1980,n.f.1990,n.f.2000
35,芬,霞,珍,秀,慧,雪,3699783,2604016,2386285,2242688,1604412,792604,昌,龙,学,斌,峰,金,2085427,1344425,1339739,1140317,881527,469402,妹,娟,淑,珍,海,瑶,1983999,1485223,1454018,1201832,781147,388681
36,芝,成,辉,波,辉,金,3659562,2598346,2365962,2111097,1604179,753907,义,全,云,玉,波,飞,2081052,1337725,1279190,1073158,850533,465814,小,连,琼,利,雨,倩,1881403,1438213,1402544,1200244,778323,354746
37,素,忠,桂,利,芳,静,3598208,2567433,2355842,2064553,1547657,738249,发,贵,立,光,斌,雨,2022214,1253735,1257779,1067923,840642,450296,丽,芝,文,莉,金,丹,1629209,1374236,1335217,1153640,776099,353707
38,建,淑,勇,凤,鑫,天,3495374,2557069,2304076,2057638,1527204,732772,正,红,祥,洪,泽,航,2019835,1252977,1248545,1024603,818956,448437,平,琼,雪,亚,莹,诗,1597696,1352577,1334633,1039365,757283,348600
39,海,清,爱,东,静,晨,3467753,2554737,2302717,2053810,1505688,713577,振,友,庆,新,豪,永,1990062,1195355,1233601,1021054,817965,446606,霞,芹,翠,香,月,月,1584882,1290146,1324877,1035841,738987,344213
40,忠,生,东,涛,涛,瑞,3464576,2464187,2294235,1981431,1500292,703136,洪,辉,兴,德,平,乐,1986681,1157388,1223204,1015618,793421,446222,德,娥,莲,芬,洁,梅,1484873,1285366,1203035,1014842,724738,338543
41,光,艳,花,超,娟,华,3447411,2244436,2287211,1961333,1496035,699497,安,小,涛,云,旭,康,1936448,1139200,1179710,1004196,793267,430094,彩,明,利,秋,欣,馨,1469534,1284993,1187713,981814,724095,337229
42,爱,学,利,静,梦,小,3447308,2232630,2244165,1941501,1490581,692000,富,立,俊,兵,帅,华,1922028,1130684,1168720,1002390,778739,423993,仙,清,建,翠,思,萍,1462665,1201269,1160145,942087,716583,328950
43,元,芬,香,俊,霞,辉,3444428,2224852,2187551,1912638,1482195,676289,山,长,福,庆,祥,晨,1908198,1127343,1151227,955871,777500,418978,国,秋,素,明,雅,娜,1406989,1144627,1133187,916622,708837,326050
44,贵,琴,德,雪,丹,乐,3410776,2090776,2175625,1909782,1459742,667966,宝,胜,杰,立,健,瑞,1866271,1089432,1149767,948377,751974,417365,琼,月,明,荣,秋,心,1406292,1109231,1113695,911877,689494,322122
45,新,菊,洪,兰,永,洋,3317523,2070252,2151243,1903020,1380226,647920,民,宝,良,锋,洋,建,1771633,1081923,1145966,947930,745189,413126,永,彩,彩,琼,莉,晴,1374969,1078651,1069004,836188,687493,318145
46,庆,连,成,勇,平,雅,3148866,2028385,2148822,1840855,1377397,647811,世,元,斌,兴,玉,智,1755238,1046318,1127962,938712,743238,403277,瑞,敏,秋,彩,明,茹,1342565,1075062,1019661,797509,630375,313108
47,莲,萍,娟,娜,浩,凯,3122633,2018504,2120769,1827669,1377115,639264,龙,正,胜,江,云,翔,1719314,1040752,1122006,912241,736340,398974,娣,建,永,菊,颖,妍,1271628,1053969,1015403,791132,619726,312593
48,琴,福,萍,美,国,旭,2949118,2014433,2030433,1826157,1372216,638458,仁,安,利,振,振,祥,1651309,1020864,1059816,910558,725290,397599,秋,晓,会,桂,珍,紫,1255352,1045986,1013733,784923,615978,304138
49,翠,兴,琴,亮,成,轩,2893023,1967536,2016413,1804089,1344459,621589,根,勇,全,祥,亚,一,1637585,1011307,1041121,867829,717234,388115,惠,会,群,青,琳,钰,1241440,987334,991046,738588,611610,299815
50,正,光,峰,荣,军,一,2864470,1944537,1969361,1777883,1307237,619624,树,俊,江,荣,家,健,1621480,986810,1010248,867697,712918,377218,风,雪,连,爱,平,芳,1193836,981555,953673,736659,585342,297825
