name,n.male,n.female,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hubei,hunan,guangdong,guangxi,hainan,chongqing,sichuan,guizhou,yunnan,xizang,shaanxi,gansu,qinghai,ningxia,xinjiang,others
欢,247494,444170,5488,5787,41892,12408,12420,28161,14799,16912,6168,33737,11474,32868,3818,36261,18834,36189,70334,53750,16503,13813,1670,30087,82518,27574,11481,56,46324,10735,360,3299,5068,1458
莹,24942,658496,19729,17348,29730,11533,11422,67140,33126,36780,13810,45668,21039,27101,11243,25957,45898,48562,39881,22968,28615,19394,3836,8997,19475,9010,10889,91,33571,9675,1428,4839,3755,1025
美英,1144,676973,2672,1510,17034,17282,12573,4307,4186,6333,19429,77645,47239,25031,50104,48565,58893,33499,16384,47393,45067,51907,4454,3009,5127,6594,60835,12,3978,2057,992,945,2031,984
淑英,523,672590,35648,17340,63534,12187,24427,70975,43418,63790,2784,18534,5964,17818,24243,14963,70783,15928,9662,16415,23469,6249,2707,13555,53993,2514,4301,63,8184,17593,1607,4639,4324,1491
金花,2227,670438,3332,2365,39737,27778,27232,8213,8570,12120,6398,34550,42750,33175,24826,53416,43764,47171,24182,52069,22629,20197,7263,5793,18268,13942,19458,53,11620,33328,7298,11785,7480,1903
琼,57127,613251,3042,1168,7420,6907,3842,7532,3316,5243,11210,19774,13343,35818,9681,19896,7302,18398,73894,55865,26797,23250,4221,42345,128462,40720,49664,22873,15291,6709,1087,1290,3190,1008
瑞,351006,314970,6615,7400,31861,39116,34207,18328,12641,17875,1558,39619,4370,67388,2341,6912,44428,89599,30044,9883,9092,4568,1131,12318,32979,10795,29958,144,46247,23900,2260,16756,9585,2102
红霞,2197,658244,4816,3145,50693,40784,22706,11967,7319,14840,2761,44540,15369,27900,2796,14888,56173,113521,58486,26380,9759,3640,1501,8812,23575,9032,3026,95,19613,44454,2017,7823,6070,1940
淑华,7820,648599,17997,14445,40194,2630,27582,78716,84016,118211,1916,12489,3653,12183,15196,15358,39466,8897,12472,20438,17730,2362,469,18041,79279,1294,2074,42,2107,1869,495,876,2798,1124
国华,491995,160951,6808,4951,29559,15190,17048,24923,16808,23979,14002,52062,30724,22073,15624,47043,30072,36411,38655,49480,38099,12595,1652,14024,55415,15695,20163,46,6936,6291,867,1826,3074,1075
桂芝,4035,648077,10109,7437,53710,2473,38372,94612,64243,104672,604,9365,2566,29289,780,1239,72496,72521,19008,12564,1623,3043,139,2948,14774,3878,17763,15,4321,1817,525,961,2842,1403
